OG	thaBer01_Brain	thaBer01_Heart	thaBer01_Liver	thaBer01_Muscle	thaBer02_Brain	thaBer02_Heart	thaBer02_Liver	thaBer02_Muscle	thaBer03_Brain	thaBer03_Heart	thaBer03_Liver	thaBer03_Muscle
OG_0025626	2617.0	5912.0	6162.0	3583.0	3668.0	1343.0	7905.0	2494.0	4482.0	12939.0	3841.0	4287.0
OG_0025627	101.936	172.861	92.359	349.654	174.787	113.037	132.354	295.551	208.402	306.959	139.553	525.525
OG_0025628	255.0	227.0	1162.0	209.0	344.0	309.0	1434.0	138.0	365.0	332.0	530.0	228.0
OG_0025629	264.0	272.0	185.0	373.0	478.0	993.0	264.0	224.0	443.0	702.0	586.0	397.0
OG_0025631	67.713	37.998	92.456	67.76	94.646	40.034	208.385	80.37	56.19	164.713	221.873	76.237
OG_0025635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025639	205.755	238.884	794.737	1110.802	248.523	1571.801	1421.391	550.069	228.318	498.387	2934.803	306.954
OG_0025640	0.0	0.0	0.0	89.077	0.0	0.0	0.0	26.203	0.0	69.249	0.0	61.861
OG_0025646	1312.541	1551.241	1866.709	1784.005	1391.283	5370.27	2707.431	937.274	1415.611	2690.702	4964.29	955.281
OG_0025647	947.949	201.733	625.917	417.527	1786.0	985.348	786.984	245.92	1807.272	805.01	1465.354	355.022
OG_0025648	1059.408	1498.156	1844.486	1420.457	1192.419	2216.416	2667.553	850.656	1264.665	2006.619	2901.174	831.676
OG_0025649	1.819	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0
OG_0025650	160.754	0.0	371.58	196.649	296.867	0.0	593.966	201.32	199.52	291.793	1200.962	149.884
OG_0025652	0.0	0.0	0.0	563.52	0.0	823.818	564.232	507.45	0.0	909.956	0.0	617.334
OG_0025656	4.724	0.0	2.0	0.0	0.0	1.0	2.0	0.0	1.072	1.0	1.0	0.0
OG_0025660	763.529	539.907	505.746	464.256	1498.693	76.531	505.004	236.078	1334.805	1187.688	231.312	209.879
OG_0025661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025666	200.059	44.557	2314.249	6.859	105.863	105.495	1099.027	9.638	188.16	46.001	766.573	21.739
OG_0025684	8.0	0.0	1.0	9.0	0.0	111.0	2.0	19.0	0.0	12.0	0.0	3.0
OG_0025773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0025786	0.0	0.0	0.0	0.0	7.293	0.0	0.0	0.0	3.0	0.0	1.0	0.0
OG_0025851	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	7.0	0.0	0.0
OG_0025852	0.0	1.0	0.0	2.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	2.0
OG_0025909	67.703	46.715	0.0	71.169	89.44	16.363	10.542	25.11	118.452	26.438	12.003	23.032
OG_0025998	83.033	299.743	45.609	217.188	115.635	109.398	89.07	622.472	114.588	164.536	172.511	107.604
