"Tissue","OG","n_pairs","Pairs","gene_name","name_source"
"Brain","OG_0007175",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","PDHA1","taeGut_geneID"
"Brain","OG_0007270",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","DDB1","taeGut_geneID"
"Brain","OG_0007273",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","TTC13","taeGut_geneID"
"Brain","OG_0007331",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","KIRREL3","galGal_geneID"
"Brain","OG_0007420",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","TACC3","taeGut_geneID"
"Brain","OG_0007519",3,"dysSti_vs_sakCri;thaBer_vs_thaAtr;thaRuf_vs_thaTor","XPO6","taeGut_geneID"
"Brain","OG_0007682",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","ZK1290.5","parsed_from_gene_id"
"Brain","OG_0007715",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","DDX1","taeGut_geneID"
"Brain","OG_0007718",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","NUP155","taeGut_geneID"
"Brain","OG_0007755",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","PROS1","taeGut_geneID"
"Brain","OG_0007766",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","ST3GAL5","taeGut_geneID"
"Brain","OG_0007918",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","FAM120A","taeGut_geneID"
"Brain","OG_0007922",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","SLC46A1","taeGut_geneID"
"Brain","OG_0007971",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","XKR6","taeGut_geneID"
"Brain","OG_0007988",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","RAPGEF5","taeGut_geneID"
"Brain","OG_0008037",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","LONP1","taeGut_geneID"
"Brain","OG_0008038",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","THOC5","taeGut_geneID"
"Brain","OG_0008096",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","REST","taeGut_geneID"
"Brain","OG_0008108",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","BSG","taeGut_geneID"
"Brain","OG_0008117",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","LOC100225139","taeGut_geneID"
"Brain","OG_0008130",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","PAXIP1","taeGut_geneID"
"Brain","OG_0008137",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","MCC","taeGut_geneID"
"Brain","OG_0008159",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","RAD9A","taeGut_geneID"
"Brain","OG_0008218",3,"dysSti_vs_sakCri;thaBer_vs_thaAtr;thaRuf_vs_thaTor","LOC116806607","taeGut_geneID"
"Brain","OG_0008237",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","ARHGAP31","taeGut_geneID"
"Brain","OG_0008281",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","EDRF1","taeGut_geneID"
"Brain","OG_0008373",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","CHPF","taeGut_geneID"
"Brain","OG_0008374",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","CHPF2","taeGut_geneID"
"Brain","OG_0008399",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","SMC6","taeGut_geneID"
"Brain","OG_0008408",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","ASPSCR1","taeGut_geneID"
"Brain","OG_0008419",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","LOC140682163","taeGut_geneID"
"Brain","OG_0008433",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","TRAK2","taeGut_geneID"
"Brain","OG_0008473",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","GABRD","taeGut_geneID"
"Brain","OG_0008476",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","TTC14","taeGut_geneID"
"Brain","OG_0008478",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","ANTXR2","taeGut_geneID"
"Brain","OG_0008482",3,"dysSti_vs_sakCri;thaBer_vs_thaAtr;thaRuf_vs_thaTor","WDR44","taeGut_geneID"
